code,price,sma50,sma150,sma200,high52w,low52w,sma200_20d_ago,rs_percentile,ret_3m,ret_6m,ret_9m,ret_12m,tt_1,tt_2,tt_3,tt_4,tt_5,tt_6,tt_7,tt_8,tt_all_pass,non_cut_years,non_cut_years_verified,non_cut_years_required,coverage_years,div_source_used,needs_manual_dividend_check,cfo_pos_5y_ratio,fcf_pos_5y_ratio,fcf_payout_3y,fcf_payout_hard_fail,fcf_latest,div_paid_latest,total_div_fwd,total_div_actual,dps_fwd,bps_latest,eps_fwd,net_shares_latest,fiscal_month,metrics_coverage,data_quality_flags,Sector33CodeName,Sector17CodeName,Name,dividend_yield_fwd,dividend_yield_fwd_total,yield_split_mismatch,high_yield_risk,per_fwd,pbr,fcf_yield,per_sector_rank,value_pass,is_financial,core_pass,core_fin_pass,core_candidate,core_momo_pass,trend_score,core_drop_reasons,satellite_pass,eps_growth_yoy,eps_accel,eps_score,satellite_drop_reasons,breakout_20d,breakout_55d,first_pullback,in_holdings,composite_score,drop_reason,yield_used,core_buyable_now,satellite_buyable_now,dividend_yield_total_actual,yield_basis,dividend_yield_total_fwd,effective_yield,drop_reason_core,drop_reason_satellite,info_flags,needs_manual_history_check,needs_manual_shares_check,shares_check_reason,manual_dividend_check_reason,history_check_reason,needs_data_fill,data_fill_reason
62780,16720.0,13802.2,10178.8,9169.6,16720.0,3125.0,8148.475,98.6084142394822,0.9532710280373832,1.1272264631043258,1.9698046181172293,3.1904761904761907,True,True,True,True,True,True,True,True,True,9.0,True,5,10,yf,False,1.0,0.5,233.1428571428572,True,14000000.0,1813000000.0,1813856940.0,1813000000.0,105.0,4233.71,305.86,17274828.0,12.0,1.0,fcf_payout_extreme:233.14,機械,機械,ユニオンツール,0.00627990430622,0.0062769374232882,False,False,54.66553325050676,3.9492549088152,4.847055925319079e-05,0.9182389937106918,False,False,False,False,False,False,6,C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail; E_div_yield; F_value_pass,False,0.306614295412666,True,6,yield_below_2pct,True,True,False,False,76.80420711974111,C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail; E_div_yield; F_value_pass; yield_below_2pct,total,False,False,0.0062769374232882,dps_fallback,0.00627990430622,0.00627990430622,C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail; E_div_yield; F_value_pass,yield_below_2pct,,False,True,yield_total_fallback_dps,,,False,
35260,9055897600.0,181121985.9,60376595.21333333,45283130.55,9055897600.0,2428.0,3515.48,99.77346278317152,2198032.3980582524,2192710.283292978,3410883.218455744,,True,True,True,True,True,True,True,True,True,10.0,True,5,10,yf,False,1.0,1.0,0.2163426925845932,False,3108000000.0,602000000.0,602095500.0,602000000.0,100.0,4138.66,458.52,6020955.0,3.0,1.0,div_split_adjusted,輸送用機器,自動車・輸送機,芦森工業,1.1042527689359033e-08,1.104077620409742e-08,False,False,19750278.286661435,2188123.1123117143,5.700121668161924e-08,1.0,False,False,False,False,False,False,6,E_div_yield; F_value_pass,False,1.9163938004802443,True,7,yield_below_2pct,False,False,False,False,75.88673139158576,E_div_yield; F_value_pass; yield_below_2pct,total,False,False,1.104077620409742e-08,dps_fallback,1.1042527689359033e-08,1.1042527689359033e-08,E_div_yield; F_value_pass,yield_below_2pct,,False,True,yield_total_fallback_dps,,,False,
76350,678447232.0,13570608.28,4524471.78,3393652.02,678447232.0,1125.0,1371.675,99.67637540453076,397682.01992966,532114.4760784314,556559.4856439704,526335.0993017843,True,True,True,True,True,True,True,True,True,10.0,True,5,10,yf,False,1.0,1.0,0.1431541431541431,False,2814000000.0,214000000.0,214602760.0,214000000.0,40.0,2169.44,96.41,5365069.0,3.0,1.0,div_split_adjusted,卸売業,商社・卸売,杉田エース,5.8958159328152434e-08,5.879256210975395e-08,False,False,7037104.366766933,312729.1983184601,7.730947185834e-07,1.0,False,False,False,False,False,False,6,E_div_yield; F_value_pass,False,0.8272778088317496,True,7,yield_below_2pct,False,False,False,False,75.83818770226537,E_div_yield; F_value_pass; yield_below_2pct,total,False,False,5.879256210975395e-08,dps_fallback,5.8958159328152434e-08,5.8958159328152434e-08,E_div_yield; F_value_pass,yield_below_2pct,,False,True,yield_total_fallback_dps,,,False,
40220,1695.0,1706.364853515625,1295.9733618164062,1181.3250213623046,2080.2080078125,448.8,1087.0436199951173,96.31067961165049,0.2919207317073171,0.9130925507900678,1.0695970695970698,2.046369518332136,True,True,True,True,False,True,True,True,False,0.0,True,5,10,yf,True,1.0,1.0,0.2635930047694753,False,3209000000.0,940000000.0,936886800.0,940000000.0,120.0,3570.64,398.74,7807390.0,3.0,1.0,div_split_adjusted,化学,素材・化学,ラサ工業,0.0707964601769911,0.071031711159098,False,True,4.250890304459046,0.4747048148231129,0.2424901713931337,0.0545454545454545,True,False,False,False,False,False,6,A_non_cut_years,False,1.1212562732718143,True,7,TT_not_all_pass,False,False,True,False,75.15533980582524,A_non_cut_years; TT_not_all_pass,total,False,False,0.071031711159098,dps_fallback,0.0707964601769911,0.0707964601769911,A_non_cut_years,TT_not_all_pass,info_tt_not_all_pass,False,True,yield_total_fallback_dps,high_yield_risk; yf_source_high_yield,,False,
66170,5940.0,5129.798779296875,4057.85951171875,3700.884633789063,5940.0,1776.0,3404.126618652344,97.44336569579288,0.4612546125461254,0.9161290322580644,1.483277591973244,1.838031533683708,True,True,True,True,True,True,True,True,True,0.0,True,5,10,yf,False,1.0,1.0,0.3620479479886225,False,1292000000.0,810000000.0,802477250.0,810000000.0,50.0,3798.71,238.37,16049545.0,3.0,1.0,,電気機器,電機・精密,東光高岳,0.0084175084175084,0.0084964175846503,False,False,24.91924319335487,1.563688725909585,0.0135523105177385,0.5965909090909091,False,False,False,False,False,False,6,A_non_cut_years; E_div_yield; F_value_pass,False,0.9986805453745788,True,7,yield_below_2pct,True,True,False,False,74.72168284789643,A_non_cut_years; E_div_yield; F_value_pass; yield_below_2pct,total,False,False,0.0084964175846503,dps_fallback,0.0084175084175084,0.0084175084175084,A_non_cut_years; E_div_yield; F_value_pass,yield_below_2pct,,False,True,yield_total_fallback_dps,,,False,
68240,5240.0,4584.265756835937,4210.069995117187,3828.9774963378895,5240.0,2087.0,3604.4910021972655,92.45954692556634,0.2657004830917875,0.4515235457063711,1.013835511145273,1.0868180007964954,True,True,True,True,True,True,True,True,True,10.0,True,5,10,yf,False,1.0,1.0,3.480417754569191,False,156000000.0,741000000.0,741654780.0,741000000.0,60.0,3855.2,273.24,12360913.0,3.0,1.0,,電気機器,電機・精密,新コスモス電機,0.0114503816793893,0.0114402725543378,False,False,19.177280046845265,1.3592031541813654,0.0024084784324921,0.4602272727272727,True,False,False,False,False,False,6,D_fcf_payout; E_div_yield,False,0.3380315917375456,True,6,yield_below_2pct,True,False,False,False,74.22977346278317,D_fcf_payout; E_div_yield; yield_below_2pct,total,False,False,0.0114402725543378,dps_fallback,0.0114503816793893,0.0114503816793893,D_fcf_payout; E_div_yield,yield_below_2pct,,False,True,yield_total_fallback_dps,,,False,
63760,2820.0,2312.24,1812.1066666666663,1690.165,2820.0,1050.0,1561.03,97.18446601941748,0.667652276759314,0.9183673469387754,1.1826625386996903,1.211764705882353,True,True,True,True,True,True,True,True,True,9.0,True,5,10,yf,False,0.6666666666666666,0.6666666666666666,0.5604581673306773,False,-11553000000.0,1987000000.0,1987477200.0,1987000000.0,30.0,2113.07,120.15,66249240.0,12.0,1.0,,精密機器,電機・精密,日機装,0.0106382978723404,0.0106357435810284,False,False,23.470661672908864,1.3345511506954335,-0.0618393284306098,0.5,True,False,False,False,False,False,6,B_cfo_pos_ratio; E_div_yield,False,0.749130572241543,True,7,yield_below_2pct,False,False,False,False,74.09223300970874,B_cfo_pos_ratio; E_div_yield; yield_below_2pct,total,False,False,0.0106357435810284,dps_fallback,0.0106382978723404,0.0106382978723404,B_cfo_pos_ratio; E_div_yield,yield_below_2pct,,False,True,yield_total_fallback_dps,,,False,
58170,1591.0,1392.6733447265624,911.251533203125,800.3536499023437,2151.0,376.0,705.5136499023438,99.02912621359224,0.4079646017699114,2.3565400843881856,2.4511930585683297,2.6159090909090907,True,True,True,True,True,True,False,True,False,7.0,True,5,10,yf,False,0.5,0.5,1.216867469879518,True,,,,,,,,,2.0,1.0,shares_missing,非鉄金属,鉄鋼・非鉄,ＪＭＡＣＳ,,,False,False,,,,,False,False,False,False,False,False,6,B_cfo_pos_ratio; C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail; E_div_yield; F_value_pass,False,0.9756410256410256,True,7,TT_not_all_pass; yield_unknown,False,False,False,False,74.01456310679612,B_cfo_pos_ratio; C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail; E_div_yield; F_value_pass; data_missing:yield; TT_not_all_pass; yield_unknown,none,False,False,,none,,,B_cfo_pos_ratio; C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail; E_div_yield; F_value_pass; data_missing:yield,TT_not_all_pass; yield_unknown,info_tt_not_all_pass,False,False,,,,True,missing_dps; missing_total_div; missing_shares
67540,3398.0,2744.7716162109373,2312.494759114584,2183.6760693359374,3398.0,1182.5,2054.294140625,95.8252427184466,0.5015466195315952,0.8200321371183716,0.8263907551733405,1.528273809523809,True,True,True,True,True,True,True,True,True,0.0,True,5,10,yf,False,1.0,1.0,0.3490776134286189,False,17155000000.0,5226000000.0,5159682880.0,5226000000.0,40.0,963.38,70.42,128992072.0,3.0,1.0,,電気機器,電機・精密,アンリツ,0.0117716303708063,0.0119229304878973,False,False,48.25333712013632,3.527164774024788,0.0391385136853959,0.8579545454545454,False,False,False,False,False,False,6,A_non_cut_years; E_div_yield; F_value_pass,False,0.7514723203769139,True,7,yield_below_2pct,True,False,False,False,73.9126213592233,A_non_cut_years; E_div_yield; F_value_pass; yield_below_2pct,total,False,False,0.0119229304878973,dps_fallback,0.0117716303708063,0.0117716303708063,A_non_cut_years; E_div_yield; F_value_pass,yield_below_2pct,,False,True,yield_total_fallback_dps,,,False,
69200,41580.0,33995.5,28580.33333333333,25656.6,41580.0,10490.0,23526.675,97.2168284789644,0.2953271028037383,1.0422396856581533,1.2152370804475223,2.279179810725552,True,True,True,True,True,True,True,True,True,7.0,True,5,10,yf,False,1.0,1.0,0.4792300380228136,False,75454000000.0,29672000000.0,29672627782.0,29672000000.0,329.0,2327.06,938.61,90190358.0,6.0,1.0,div_split_adjusted,電気機器,電機・精密,レーザーテック,0.0079124579124579,0.0079122905090621,False,False,44.29954933358903,17.86803950048559,0.020120449180061,0.8238636363636364,False,False,False,False,False,False,6,E_div_yield; F_value_pass,False,1.135312531556094,True,7,yield_below_2pct,False,False,False,False,73.1084142394822,E_div_yield; F_value_pass; yield_below_2pct,total,False,False,0.0079122905090621,dps_fallback,0.0079124579124579,0.0079124579124579,E_div_yield; F_value_pass,yield_below_2pct,,False,True,yield_total_fallback_dps,,,False,
